Sample,10:00,11:00,12:00,13:00,UNK1,UNK2,UNK3,14:00,14:1n-5,15:00,15:1n-5,16:00,16:1n-7,17:00,16:2n-4,17:1n-7,16:3n-4,UNK4,16:4n-1,18:00,18:1n-9 t,18:1n-7 t,18:1n-9,18:1n-7,18:2n-6 t,19:00,18:2n-6,18:2n-4,18:3n-6,18:3n-4,18:3n-3,20:00,18:4n-3,20:1n-13,20:1n-11,20:1n-9,21:00,20:2n-6,20:3n-6,20:4n-6,20:3n-3,22:00,20:4n-3,22:1n-11,22:1n-9,20:5n-3,22:2NMI,22:2n-6,22:3n-3,22:4n-6,24:00:00,22:5n-6,24:1n-9,22:5n-3,22:6n-3,24:5n-3,24:6n-3,SFA,MUFA,PUFA,n-3 PUFA,n-3 LC PUFA,n-6 PUFA,n-6 LC PUFA,n-6/n-3,SUM_SMP,PUFA_cal,treatment,tank,genotype,type
C-T1-2-41,0.306100038,0,0.157119761,0,0.427109283,0.178205806,0.245064628,2.928544226,0.086233364,1.056933702,0.49969712,25.50001286,1.709258335,10.71195613,0.635552114,0.151349706,0.351232627,2.70626384,0,7.014910148,0,0,2.328560667,0.427344382,0,0,1.04294109,0,1.652883046,0.636619293,1.064155525,1.204368681,5.372067334,0,0,0.462948211,0.297928831,0.232309889,1.492513865,5.421045735,0,0.298108354,0.793662621,0,0,7.335554825,0,0,0,1.63589984,0.625658352,0,0,0.954918809,9.740683803,0.315612578,0.271876335,50.10164109,5.665391785,36.53246267,25.05486921,19.41230897,11.47759346,8.781769329,0.458098319,92.29949555,38.94952933,Control,1,2,coral
C-T1-2-49,0,0,0.129769954,0,0.434660226,0.13447759,0.271550913,2.900308678,0.102202461,0.915382229,0.152484507,24.23925287,1.641397252,10.05735999,0.553506179,0.181251479,0.321382305,4.484779154,0,7.407637665,0,0,1.959200941,0.383888328,0,0,0.782703143,0,1.43053016,0.404251056,0.397120374,1.174697192,6.369433803,0,0,0.503005311,0.284582846,0.287648098,1.403984738,6.373513515,0,0.278219127,0.721712903,0,0,8.146377552,0,0,0,2.405823461,0.322579466,0,0,1.260956673,10.57293741,0,0,47.70979002,2.58034101,39.43102893,26.74682581,20.70198454,12.68420312,10.47096981,0.47423209,89.72115995,41.43188137,Control,1,2,coral
C-T1-4-44,0,0,0.103728619,0,0.206542999,0.064453451,0.120834113,2.831211374,0.056917797,1.2881505,0.132222058,28.69829262,1.781888289,17.13124308,0.793363816,0.1101395,0.196479724,3.404273124,0,9.266946448,0,0,1.727226973,0.365955999,0,0,0.659504356,0,1.267451512,0.307585899,0.418978958,1.669879764,3.056341765,0,0,0.577057818,0.045341094,0.250778385,1.984005535,2.736368509,0,0.22077704,0.969876943,0,0.074371011,3.773379543,0,0,0,2.137000376,0.281083332,0,0,0.843701716,9.87836432,0,0,61.53665387,2.732596473,27.00587497,17.9707663,15.46532252,9.035108672,7.108152804,0.502767023,91.27512532,29.27318136,Control,1,4,coral
C-T1-4-45,0,0,0.116213448,0,0.222736848,0.075077132,0.127503961,2.67293548,0,1.293400474,0.195998645,27.61658538,1.617858388,15.55828927,0.784626653,0.116563246,0.220730388,4.340322909,0,9.764259207,0,0,1.783653235,0.385421943,0,0,0.900029528,0,0.99638132,0.544166156,0.4724745,1.605197445,2.536022999,0,0,0.517028908,0.362473889,0.270994094,1.640471699,4.053731524,0,0.191142244,0.908789011,0,0,4.345895848,0,0,0,2.849666827,0.317144862,0,0,0.941543213,8.699392602,0,0,59.4976417,2.447449187,27.70660416,16.99532916,14.89562067,10.71127499,8.814864145,0.630248164,89.65169504,30.16491636,Control,1,4,coral
C-T1-5-28,0,0,0.128288687,0,0.345894493,0.105831529,0.219154829,3.238576131,0.110810183,1.19738889,0.160362594,27.55243912,1.833667002,13.25608801,0.636031972,0.163616343,0.207142993,4.139215712,0,7.937337799,0,0,3.087309687,0.403414269,0,0,0.792301194,0,1.10046289,0.282906743,0.329499832,1.279746539,4.247502953,0,0,0.729312015,0.25472219,0.26514862,1.33476234,3.961889113,0,0.239700281,0.673798766,0,0,5.588949233,0,0,0,2.817771688,0.223797123,0,0,0.987187099,9.571959421,0,0,55.30808477,2.997768137,30.99743438,20.72509854,16.82189452,10.27233585,8.379571761,0.495647141,89.30328729,32.79731486,Control,1,5,coral
C-T2-2-14,0.171313775,0,0.167520676,0,0.55560171,0.180075895,0.31795587,2.731739091,0.122743567,0.873640994,0.507427954,22.80091011,1.789742947,8.21928467,0.609980908,0.190924191,0.414058981,3.761363112,0,7.348104442,0,0,1.996462037,0.368070383,0,0,0.751835335,0,1.293421189,0.661594194,0.598364228,1.259497839,6.383523047,0,0,0.47658961,0.333278821,0.252608155,1.166613695,7.186343095,0,0.411922418,0.754452275,0,0,9.422480005,0,0,0,2.470382995,0.453299228,0,0,1.363495223,10.19239432,0,0,44.77051207,3.087428268,41.08146129,27.96025682,21.73282182,13.12120446,11.07594794,0.469280541,88.93940162,43.52154765,Control,2,2,coral
C-T2-2-21,0,0,0.132032871,0,0.484608599,0.173603926,0.283790946,2.753777687,0.179312732,0.998156111,0.463057859,22.71839296,1.708496506,8.832481876,0.560755385,0.18152091,0.42017428,4.727602,0,8.007118182,0,0,2.019755221,0.392538403,0,0,0.817997208,0,1.233135373,0.581938414,0.835000093,1.249563461,5.874989169,0,0,0.484057772,0.321132502,0.251873776,1.155004827,6.40776329,0,0.290001555,0.705797968,0,0,8.950169664,0,0,0,3.051185685,0.525411646,0,0,1.317122811,9.744335876,0,0,45.82806885,3.016445779,39.63857777,26.72161761,20.71742632,12.91696016,10.86582758,0.483389903,88.4830924,41.90724382,Control,2,2,coral
C-T2-3-41,0,0,0.090331184,0,0.224192876,0.072144457,0.124924658,2.629957901,0.08035386,0.769450871,0.204813123,26.69062653,1.801902318,10.42628118,0.56233626,0.104362639,0.209602058,4.899603699,0,10.24977211,0,0,2.355943735,0.474163446,0,0,1.052088806,0,1.724884225,0.482998943,0.742539804,1.68237882,3.269552765,0,0,0.800572124,0.303570189,0.396081145,1.946899303,5.354152601,0,0.196502594,0.780063064,0,0,5.221564274,0,0,0,3.763753567,0.36486814,0,0,1.065177866,7.988941732,0,0,53.40373952,2.992004064,32.52563609,18.28777644,15.05574693,14.23785965,11.46088662,0.77854515,88.92137967,34.56063642,Control,2,3,coral
C-T2-4-23,0,0,0.109874495,0,0.268276051,0,0.152976559,2.913469136,0,0.930769429,0.190362156,27.00320266,1.650171026,12.4816181,0.660270987,0.102244683,0,4.544569436,0,10.45961033,0,0,2.071532211,0.421825317,0,0,0.767814971,0,1.377600841,0.45709665,0.534770483,1.84046073,3.493677437,0,0,0.752826546,0.405321857,0.336194156,1.839148239,3.88370012,0,0.281973301,0.851449244,0,0,4.55839648,0,0,0,3.409898359,0.251160633,0,0,1.015809578,8.971859271,0,0,56.67746067,2.695604411,30.18886994,18.57451325,15.39751457,11.61435669,9.468940875,0.625284579,89.56193502,32.15768682,Control,2,4,coral
C-T2-5-38,0.124070616,0,0.116932668,0,0.270053622,0.080111892,0.159172597,3.474964335,0.101886657,1.222246506,0.110276999,30.6224878,1.953603027,14.22900361,0.695401357,0.146324888,0.214827042,2.934906276,0,8.730257716,0,0,2.928581849,0.407932916,0,0,0.977676864,0,1.349444098,0.314702099,0.568271469,1.415576253,3.524109776,0,0,0.850108376,0.164864454,0.258842794,1.638588934,2.720149272,0,0.208980193,0.782991643,0,0,4.301191486,0,0,0,1.947828314,0.284907915,0,0,0.786631746,8.808603234,0,0,60.59429207,3.162199947,26.88133799,17.98880771,14.67941811,8.892530276,6.565409314,0.494336835,90.63783,28.88926013,Control,2,5,coral
