sample_names,treatment,replicate,genotype,fragment,SE,TAG,12DAG,FFA,STEROL,AMPL,PE,PSPI,PC,LPC,lipid_AFDW_mgg
C_T1_2_41,Control,1,2,41,9.330382961,4.41662482,10.18437318,2.856593947,6.452435266,20.64731237,10.53629851,15.09550633,12.81064458,7.669828034,81.11961412
C_T1_2_49,Control,1,2,49,9.482486835,4.787197851,8.948426749,2.835862199,6.91619199,26.37599356,8.941228534,13.32624599,11.55288506,6.833481227,153.6092535
C_T1_4_44,Control,1,4,44,13.80627643,8.649042006,8.957322813,4.12939216,5.47983391,19.70714812,8.679151653,12.95716972,11.05129584,6.583367354,46.25765412
C_T1_4_45,Control,1,4,45,12.8501612,6.177450278,9.816344747,4.433701088,5.926879917,17.44471066,9.660445466,14.29448642,12.26931795,7.126502275,63.98380949
C_T1_5_28,Control,1,5,28,12.87449028,8.090115105,8.353264854,4.848794871,6.632789106,21.7750539,8.357031825,12.16396063,10.62176918,6.282730239,113.2687774
C_T2_2_14,Control,2,2,14,7.301225047,3.167481629,8.917998468,3.272054137,6.662505173,30.91558334,8.693361455,12.88388887,11.29106536,6.894836512,149.091368
C_T2_2_21,Control,2,2,21,10.79045113,4.381916132,10.86698022,3.073847553,7.726358643,18.45040195,9.942955799,14.85606889,12.52419561,7.38682407,68.8774131
C_T2_3_41,Control,2,3,41,11.75423008,6.632637463,9.144668231,5.062792974,6.601246811,19.68327977,9.372825854,13.3163962,11.65642279,6.775499824,87.96019755
C_T2_4_23,Control,2,4,23,9.671779824,5.567202553,9.759005003,4.712336731,6.107618993,20.90570258,9.611338793,14.13275303,12.30909132,7.223171168,82.66978718
C_T2_5_38,Control,2,5,38,12.36727093,9.421512507,5.946024471,3.631975121,4.201547748,38.02502282,5.809780488,8.569879075,7.391131587,4.635855256,94.07822359
C_T3_5_40,Control,3,5,40,12.94920727,8.612046543,9.011267587,3.441380606,6.238910107,19.88566457,8.757771421,13.07454175,11.31889237,6.710317759,77.33493245
C_T3_3_12,Control,3,3,12,8.27867363,4.553148044,10.13777585,4.634829499,5.993774938,20.51652289,10.22437679,14.7803292,13.23914417,7.641424989,81.80701218
C_T3_1_4,Control,3,1,4,9.442007788,7.044635847,8.844363128,4.749673968,5.271698377,24.45594513,8.783422038,12.99676164,11.43192888,6.979563199,69.31061032
C_T3_4_33,Control,3,4,33,13.09672546,6.611475435,8.578779326,3.306146941,5.113396679,25.13242034,8.413623051,12.46930603,10.76682993,6.511296804,49.82979807
C_T3_4_34,Control,3,4,34,12.48354399,5.459488805,10.39271735,3.234116995,6.357967236,16.26429056,10.02766253,14.86934513,13.07902444,7.831842952,96.35214783
C_T4_1_29,Control,4,1,29,5.827477565,5.712840376,3.61599522,1.146708549,2.424040344,65.43868911,3.451771677,5.115655542,4.58223226,2.684589357,217.7161114
C_T4_2_12,Control,4,2,12,9.896091674,5.518651674,8.319946098,4.575356116,5.503965756,28.55385956,8.417042556,12.06395774,10.9991948,6.15193402,61.42873082
C_T4_3_21,Control,4,3,21,5.000873309,3.071831469,8.054882358,1.729360584,4.10453427,40.42798139,8.299623236,12.76494335,10.23397882,6.311991218,69.14701229
C_T4_4_37,Control,4,4,37,10.93078966,6.657814585,8.555368284,3.658422786,5.162437056,23.34400538,10.69543589,13.68614841,10.94520835,6.364369603,96.02154932
C_T4_5_7,Control,4,5,7,16.26173488,12.70581978,7.849900707,2.624088293,5.928443934,18.4713731,8.096196823,11.55730983,10.61156033,5.89357233,150.4958319
D_T1_1_21,Dissolved,1,1,21,8.123407751,3.511394484,9.406200442,3.339801128,8.02425452,26.05274055,9.218408077,13.69723741,11.72754586,6.899009777,157.6385803
D_T1_2_46,Dissolved,1,2,46,9.468684397,3.130638944,10.43092437,3.352249332,8.314458618,18.60696019,10.39069548,15.20772389,13.39302154,7.704643242,117.7181184
D_T1_3_23,Dissolved,1,3,23,10.95340042,6.400458736,9.433727767,8.175922742,6.687474389,19.90808721,8.465580507,12.59924248,10.96031763,6.415788116,168.1397343
D_T1_4_40,Dissolved,1,4,40,10.96494317,6.137596951,4.667421644,3.404874889,4.37081742,49.88592931,4.552082786,6.686817512,5.781405342,3.548110976,193.2934543
D_T1_4_43,Dissolved,1,4,43,15.23278631,6.476236535,8.536495798,5.062024591,7.118901268,20.17762456,8.241705064,12.15715738,10.79760794,6.199460552,124.4260161
D_T2_2_31,Dissolved,2,2,31,7.403053302,2.168216253,11.30692017,3.233445756,8.489817517,16.81940812,11.22599476,16.63734676,14.33001201,8.385785346,159.6051474
D_T2_3_25,Dissolved,2,3,25,7.903667133,3.711634908,10.61018365,5.85253331,7.180422345,17.81018838,10.41791092,15.37514008,13.30898818,7.829331103,123.5765729
D_T2_4_20,Dissolved,2,4,20,14.226007,7.81502077,9.117848537,5.032756514,5.965692685,18.04014977,8.834692224,13.14136189,11.19302806,6.633442554,97.9516813
D_T2_5_1,Dissolved,2,5,1,7.295533944,3.832420029,9.462358547,3.153413449,5.107346232,29.07697406,9.337062741,13.88862423,11.79974029,7.046526485,117.0346882
D_T2_5_15,Dissolved,2,5,15,9.937411817,6.201919011,8.576625632,4.366898519,5.667676345,27.31516502,8.38010548,12.36130879,10.79350977,6.399379625,200.02853
D_T3_2_51,Dissolved,3,2,51,2.1617611,0.867190825,1.839464283,1.332102209,1.453474866,83.92120207,1.764234811,2.664209231,2.380141092,1.616219512,560.7494027
D_T3_3_32,Dissolved,3,3,32,7.907658312,2.447583508,9.766804445,5.149091603,7.267959953,22.80646691,9.65616203,14.31847207,13.21264265,7.467158524,152.4980199
D_T3_4_32,Dissolved,3,4,32,7.546351533,2.343569548,11.51173748,3.271843321,6.136825228,17.76951823,11.40702899,17.02012669,14.46397565,8.529023322,112.8501844
D_T3_5_4,Dissolved,3,5,4,3.929145028,2.062133159,5.340844868,1.724362908,3.014441015,60.39617834,5.190601444,7.692666701,6.592727097,4.056899444,353.3331058
D_T3_5_10,Dissolved,3,5,10,10.74752722,6.168924407,9.00275887,5.543536709,7.116305949,22.11182565,8.604491191,12.79196533,11.34737514,6.565289532,123.5740541
D_T4_2_25,Dissolved,4,2,25,8.053137782,2.744752111,7.868162176,6.953641306,7.375199822,30.80891828,7.564801759,11.6147752,11.12880789,5.887803676,165.1950598
D_T4_2_36,Dissolved,4,2,36,10.24782718,3.552522257,9.458933812,5.779299937,9.710296474,18.79147955,9.326380166,13.95819931,12.15970157,7.015359745,183.7151572
D_T4_4_2,Dissolved,4,4,2,8.332380666,2.584517034,10.23692241,6.015288257,7.950992549,19.76842345,10.0209881,14.78934664,12.77010762,7.53103328,139.5282757
D_T4_4_28,Dissolved,4,4,28,9.414276599,3.359805378,10.10403798,5.552507346,6.980313725,19.18554018,9.981549173,14.83918434,13.00499076,7.577794511,220.1359423
D_T4_5_14,Dissolved,4,5,14,8.819819853,2.650494159,10.05199868,4.858561175,8.760233433,18.85755832,9.938125463,14.79081705,13.28034917,7.992042697,148.9510358
F_T1_1_20,Fish,1,1,20,4.807680187,4.211377984,2.730823635,2.420659626,2.631330403,70.24282188,2.749177245,3.948382996,4.150179263,2.107566781,352.2615578
F_T1_2_50,Fish,1,2,50,4.823821202,2.086528225,5.445360841,2.010096751,4.128978895,57.03883921,5.362965577,7.914863898,7.055514427,4.133030971,222.9789662
F_T1_3_57,Fish,1,3,57,5.889562082,3.155383312,7.128412401,2.755586874,3.977851389,45.32059908,7.04199638,10.39283995,9.018574666,5.319193862,82.3194119
F_T1_4_47,Fish,1,4,47,15.58173275,8.485757062,8.647489464,4.601902796,6.582748119,29.5030058,9.392876226,0,10.86195717,6.342530624,134.5775693
F_T1_4_48,Fish,1,4,48,7.256605983,5.11199334,3.439562496,2.399392291,2.382362261,64.21831368,3.326729434,4.909710927,4.36608397,2.589245616,156.0337995
F_T2_2_15,Fish,2,2,15,7.853440624,3.278303135,9.011272153,3.326414797,7.518942798,28.46524306,8.837789646,13.19400155,11.84485888,6.669733357,150.2576807
F_T2_3_22,Fish,2,3,22,7.874349922,3.28948878,10.506637,4.575165273,5.723448939,21.21049215,10.33584331,15.3181088,13.12784174,8.038624087,102.7406759
F_T2_3_27,Fish,2,3,27,8.842812204,4.226601288,9.660644313,4.061742151,6.050936419,24.2610386,9.572772998,14.17966335,11.98623659,7.157552088,152.9613547
F_T2_3_38,Fish,2,3,38,9.4224775,6.58183996,10.51499774,3.160439489,5.990701999,17.81265782,10.37576341,15.3772719,13.01318518,7.750665006,136.7025731
F_T2_5_3,Fish,2,5,3,11.0168117,6.224934384,10.03622925,4.018652033,7.056975856,17.3952626,9.81312928,14.54342694,12.52648548,7.368092481,115.5036464
F_T3_1_16,Fish,3,1,16,8.166824731,3.818833326,9.77123576,4.467253212,8.89173525,20.11664227,9.693166257,14.5071447,13.1281377,7.439026791,142.499528
F_T3_2_7,Fish,3,2,7,8.360776242,3.118336112,9.768700884,4.736284422,8.004669714,22.22428886,9.527301909,14.19974542,12.67002109,7.389875349,145.8838169
F_T3_2_29,Fish,3,2,29,7.938586305,4.561681891,10.61821791,4.554194295,6.808459705,18.60383146,10.37491782,15.35972907,13.29722475,7.883156801,188.8938501
F_T3_4_6,Fish,3,4,6,7.520238605,3.446983032,5.472485193,6.198481787,3.754141409,49.78340182,5.28679218,7.360419725,6.9716614,4.205394847,166.5793201
F_T3_4_9,Fish,3,4,9,8.282571832,3.232457398,10.48217163,5.954076208,6.481255757,19.44928223,10.15664604,15.0525317,13.12685361,7.782153588,118.5414322
F_T4_1_30,Fish,4,1,30,4.899986531,3.334914179,5.7513078,2.234017861,3.047781566,55.06426516,5.629991588,8.308950808,7.174501934,4.554282577,151.2122754
F_T4_2_20,Fish,4,2,20,8.164124503,2.438196726,10.99693578,4.65497074,6.918774187,17.30991223,10.78522583,16.57027477,13.93925515,8.22233009,96.44135584
F_T4_3_42,Fish,4,3,42,6.864952391,10.40232325,9.772064859,4.7808106,6.34892247,18.52423777,9.576968105,14.28162236,12.24424468,7.203853513,112.1305059
F_T4_4_8,Fish,4,4,8,4.988515258,1.676589088,5.157941987,3.161040848,3.125623432,58.16671203,5.079895737,7.497098909,6.473494893,4.673087817,123.2773612
F_T4_5_43,Fish,4,5,43,12.4505976,5.917988376,11.40704328,6.558351889,7.063513215,22.5032909,11.37544642,0,14.28079427,8.442974063,99.75663019
FL_T1_3_1,Field,1,3,1,12.04657122,33.56718363,6.657378477,2.175687047,3.980263932,11.84232971,6.631702999,9.741691844,8.339141918,5.018049224,97.32893331
FL_T10_3_10,Field,1,3,10,13.39165591,31.28930066,6.548537095,2.719944337,4.289017557,12.84044357,6.410404387,9.564795087,8.128315713,4.817585681,91.80014296
