treatment,lipid_class,mgg_TL,abs_TL,TL
Control,SE,10.719794,10.23933195,95.51799173
Dissolved,SE,8.933439026,16.16926897,180.997138
Field,SE,11.2138274,11.47934527,102.367772
Fish,SE,8.050323408,11.88047936,147.5776656
LiveFeeds,SE,8.690948288,10.66735511,122.7409802
Mix,SE,9.127210947,10.60380007,116.1778788
Pellets,SE,7.602018292,12.41137651,163.2642284
SeaSim,SE,5.120643619,7.357651427,143.6860671
Control,TAG,6.361946645,6.07680367,95.51799173
Dissolved,TAG,3.90835145,7.074004269,180.997138
Field,TAG,25.22155503,25.81874395,102.367772
Fish,TAG,4.430025542,6.537728279,147.5776656
LiveFeeds,TAG,3.677598604,4.513920573,122.7409802
Mix,TAG,4.47429652,5.198142787,116.1778788
Pellets,TAG,3.278547505,5.352695287,163.2642284
SeaSim,TAG,2.345971134,3.370833658,143.6860671
Control,DAG,8.712770232,8.32226315,95.51799173
Dissolved,DAG,8.836518578,15.99384573,180.997138
Field,DAG,7.320216565,7.493542603,102.367772
Fish,DAG,8.315976719,12.27252431,147.5776656
LiveFeeds,DAG,9.307338298,11.42391825,122.7409802
Mix,DAG,8.40877955,9.769141712,116.1778788
Pellets,DAG,8.913408725,14.55240798,163.2642284
SeaSim,DAG,7.743453126,11.12626325,143.6860671
Control,FFA,3.597871756,3.436614846,95.51799173
Dissolved,FFA,4.55770775,8.249320588,180.997138
Field,FFA,3.198558826,3.274293406,102.367772
Fish,FFA,4.031476697,5.949559197,147.5776656
LiveFeeds,FFA,5.897561952,7.238725346,122.7409802
Mix,FFA,5.886928364,6.839308499,116.1778788
Pellets,FFA,3.837666315,6.265536298,163.2642284
SeaSim,FFA,2.756129395,3.960173932,143.6860671
Control,STEROL,5.740328813,5.483046801,95.51799173
Dissolved,STEROL,6.634645218,12.00851796,180.997138
Field,STEROL,5.174518773,5.29703958,102.367772
Fish,STEROL,5.624457689,8.300443358,147.5776656
LiveFeeds,STEROL,8.205409007,10.07139944,122.7409802
Mix,STEROL,7.020278325,8.156010442,116.1778788
Pellets,STEROL,6.085162444,9.934893511,163.2642284
SeaSim,STEROL,5.054870739,7.263144962,143.6860671
Control,AMPL,25.82104806,24.66374655,95.51799173
Dissolved,AMPL,27.90551691,50.50818696,180.997138
Field,AMPL,15.08217127,15.4392827,102.367772
Fish,AMPL,33.86070693,49.97084083,147.5776656
LiveFeeds,AMPL,22.606222,27.74709846,122.7409802
Mix,AMPL,27.54553291,32.00181583,116.1778788
Pellets,AMPL,30.32711949,49.51333763,163.2642284
SeaSim,AMPL,43.0422642,61.84573662,143.6860671
Control,PE,8.738567219,8.346903914,95.51799173
Dissolved,PE,8.625930058,15.61268653,180.997138
Field,PE,7.224764082,7.395830023,102.367772
Fish,PE,8.21476977,12.12316546,147.5776656
LiveFeeds,PE,9.158471534,11.24119773,122.7409802
Mix,PE,8.241779063,9.575124089,116.1778788
Pellets,PE,8.776009285,14.32808384,163.2642284
SeaSim,PE,7.187784004,10.32784415,143.6860671
Control,PSPI,12.74873269,12.17733344,95.51799173
Dissolved,PSPI,12.81158615,23.18860427,180.997138
Field,PSPI,10.61044054,10.86167158,102.367772
Fish,PSPI,10.64578939,15.71080746,147.5776656
LiveFeeds,PSPI,13.64568562,16.74884828,122.7409802
Mix,PSPI,12.22531433,14.20311086,116.1778788
Pellets,PSPI,13.01083679,21.24204229,163.2642284
SeaSim,PSPI,11.29985846,16.23632221,143.6860671
Control,PC,11.03429068,10.53973286,95.51799173
Dissolved,PC,11.22129976,20.31023142,180.997138
Field,PC,9.483046843,9.707583771,102.367772
Fish,PC,10.56285534,15.58841533,147.5776656
LiveFeeds,PC,11.89023769,14.59419428,122.7409802
Mix,PC,10.73249583,12.468786,116.1778788
Pellets,PC,11.45519144,18.70222992,163.2642284
SeaSim,PC,9.681961152,13.9116292,143.6860671
Control,LPC,6.52464991,6.232214562,95.51799173
Dissolved,LPC,6.565005101,11.88247135,180.997138
Field,LPC,5.470900668,5.600439122,102.367772
Fish,LPC,6.263618515,9.243701984,147.5776656
LiveFeeds,LPC,6.920527009,8.494322684,122.7409802
Mix,LPC,6.337384165,7.362638493,116.1778788
Pellets,LPC,6.714039713,10.96162513,163.2642284
SeaSim,LPC,5.767064169,8.286467692,143.6860671
