treatment,ID,tank_rep_rand,tank_rep,genotype,fragment,rep,moisture_mgg,ash_DW_mgg,organic_DW_mgg,lipid_DW_mgg,lipid_AFDW_mgg,protien_DW_per,protein_AFDW_mgg
Control,C-T3-4-33,Control_3,3,4,33,0,92.04896723,923.2627154,76.73728464,3.823803398,49.82979807,0.522,68.02429907
Control,C-T1-2-49,Control_1,1,2,49,0,99.86253589,949.4280893,50.57191074,7.768313458,153.6092535,0.372,73.55862069
Control,C-T4-5-07,Control_4,4,5,7,0,71.12471744,946.5915886,53.4084114,8.037743306,150.4958319,0.615,115.1504012
Control,C-T4-2-12,Control_4,4,2,12,0,84.72503374,936.0947266,63.90527335,3.925619835,61.42873082,0.336,52.57782064
Control,C-T1-4-45,Control_1,1,4,45,0,71.23385029,936.5625912,63.43740881,4.05896708,63.98380949,0.244,38.46310948
Control,C-T1-5-28,Control_1,1,5,28,0,99.74406297,947.5134103,52.48658969,5.945091843,113.2687774,0.334,63.63530227
Control,C-T1-4-44,Control_1,1,4,44,0,82.29940052,910.190243,89.80975702,4.154388677,46.25765412,0.204,22.71468121
Control,C-T3-5-40,Control_3,3,5,40,0,66.39576335,945.0392927,54.96070727,4.250382584,77.33493245,0.294,53.49276139
Control,C-T2-5-38,Control_2,2,5,38,0,61.84139758,945.6720234,54.32797663,5.111079532,94.07822359,0.345,63.50319328
Control,C-T2-3-41,Control_2,2,3,41,0,100.1598503,929.0331391,70.96686089,6.242259103,87.96019755,0.211,29.7321873
Control,C-T2-2-21,Control_2,2,2,21,0,90.38472974,950.0185632,49.98143679,3.442592069,68.8774131,0.258,51.61916435
Control,C-T1-2-41,Control_1,1,2,41,0,84.28932262,950.1285856,49.87141444,4.045549895,81.11961412,0.169,33.88714796
Control,C-T2-2-14,Control_2,2,2,14,0,109.589572,942.627751,57.37224898,8.553707087,149.091368,0.444,77.38933158
Control,C-T2-4-23,Control_2,2,4,23,0,92.14208284,935.0537222,64.94627782,5.369094966,82.66978718,0.745,114.710192
Control,C-T3-1-04,Control_3,3,1,4,0,96.21316231,920.0893233,79.91067667,5.538657771,69.31061032,0.584,73.08159865
Control,C-T3-3-12,Control_3,3,3,12,0,67.71817058,906.4848316,93.51516838,7.650196519,81.80701218,0.281,30.04860119
Control,C-T3-4-34,Control_3,3,4,34,0,117.7691289,935.4651163,64.53488372,6.218074656,96.35214783,0.303,46.95135135
Control,C-T4-1-29,Control_4,4,1,29,0,128.9325153,936.7960688,63.2039312,13.76051413,217.7161114,0.474,74.9953351
Control,C-T4-3-21,Control_4,4,3,21,0,73.205496,913.997848,86.00215201,5.946791862,69.14701229,0.331,38.48740901
Control,C-T4-4-37,Control_4,4,4,37,0,104.7193359,926.1507163,73.84928372,7.091122639,96.02154932,0.408,55.2476584
Fish,F-T2-3-22,Fish_2,2,3,22,0,60.89652118,925.4113744,74.58862559,7.663285805,102.7406759,0.339,45.449289
Fish,F-T3-2-07,Fish_3,3,2,7,0,96.05155611,954.7765565,45.22344346,6.597368544,145.8838169,0.442,97.73691832
Fish,F-T3-2-29,Fish_3,3,2,29,0,74.11080557,954.856975,45.14302498,8.527239794,188.8938501,0.554,122.7210627
Fish,F-T3-4-06,Fish_3,3,4,6,0,93.83813637,941.3770854,58.62291455,9.765365251,166.5793201,0.962,164.0996541
Fish,F-T3-4-09,Fish_3,3,4,9,0,85.50255202,930.2694739,69.73052612,8.265956435,118.5414322,0.579,83.03393539
Fish,F-T4-1-30,Fish_4,4,1,30,0,107.9803357,922.3283715,77.67162853,11.74490368,151.2122754,1.302,167.6287757
Fish,F-T4-2-20,Fish_4,4,2,20,0,88.42358434,951.6774791,48.32252085,4.660289429,96.44135584,0.533,110.300537
Fish,F-T4-3-42,Fish_4,4,3,42,0,72.09362769,939.7618146,60.23818544,6.754538205,112.1305059,0.468,77.69158326
Fish,F-T4-4-08,Fish_4,4,4,8,0,91.5680985,932.0971118,67.90288815,8.370888868,123.2773612,0.677,99.70120836
Fish,F-T4-5-43,Fish_4,4,5,43,0,75.41865898,949.3407229,50.65927713,5.053598775,99.75663019,0.531,104.8179189
Fish,F-T1-1-20,Fish_1,1,1,20,0,104.5415742,939.6429638,60.35703619,21.2614636,352.2615578,0.861,142.6511397
Fish,F-T1-2-50,Fish_1,1,2,50,0,79.05903454,956.2136964,43.7863036,9.763424709,222.9789662,0.645,147.3063371
Fish,F-T1-3-57,Fish_1,1,3,57,0,45.6891715,954.8146141,45.18538587,3.719634391,82.3194119,0.423,93.61433833
Fish,F-T1-4-47,Fish_1,1,4,47,0,86.52778512,955.1001252,44.89987484,6.042516016,134.5775693,0.371,82.62829268
Fish,F-T1-4-48,Fish_1,1,4,48,0,107.1451381,924.0685233,75.9314767,11.84787681,156.0337995,0.774,101.9340112
Fish,F-T2-2-15,Fish_2,2,2,15,0,95.64865957,952.4648046,47.53519537,7.142528206,150.2576807,0.461,96.98077318
Fish,F-T2-3-27,Fish_2,2,3,27,0,77.05375673,952.1378489,47.86215105,7.321059463,152.9613547,0.619,129.3297494
Fish,F-T2-3-28,Fish_2,2,3,28,0,66.37593318,948.8896192,51.11038077,6.986920562,136.7025731,0.47,91.95783575
Fish,F-T2-5-03,Fish_2,2,5,3,0,98.53023256,953.7418485,46.25815152,5.342985178,115.5036464,0.424,91.65952077
Fish,F-T3-1-16,Fish_3,3,1,16,0,108.5215939,952.13297,47.86703003,6.821029187,142.499528,0.733,153.1325423
Mix,M-T1-2-40,Mix_1,1,2,40,0,92.9657858,955.488708,44.51129197,5.932370971,133.2778877,0.576,129.4053654
Mix,M-T1-3-55,Mix_1,1,3,55,0,83.46851497,950.8198033,49.18019669,3.00609208,61.12403534,0.632,128.5070094
Mix,M-T1-3-56,Mix_1,1,3,56,0,60.01581444,945.7389604,54.2610396,5.6921406,104.9029035,0.709,130.6646547
Mix,M-T1-4-46,Mix_1,1,4,46,0,108.4538255,960.9015442,39.09845585,3.219745061,82.34967319,0.562,143.739692
Mix,M-T1-5-44,Mix_1,1,5,44,0,100.508858,946.2446134,53.75538664,4.949952692,92.08291487,0.642,119.4298916
Mix,M-T2-2-37,Mix_2,2,2,37,0,100.2396863,949.8855875,50.11441248,5.430638381,108.3648019,0.645,128.7054897
Mix,M-T2-3-19,Mix_2,2,3,19,0,80.31088083,943.7886874,56.21131262,3.423085928,60.89674425,0.634,112.7886844
Mix,M-T2-4-29,Mix_2,2,4,29,0,93.93145641,952.8197261,47.18027393,9.805878537,207.8385249,0.79,167.4428599
Mix,M-T2-5-30,Mix_2,2,5,30,0,112.2872176,948.8742092,51.12579084,8.716452184,170.490315,0.662,129.4845496
Mix,M-T2-5-35,Mix_2,2,5,35,0,83.65019011,910.1282119,89.87178809,8.159411648,90.78946599,0.328,36.49643642
Mix,M-T3-3-33,Mix_3,3,3,33,0,113.3812633,950.9304564,49.0695436,3.745039683,76.32106207,0.911,185.6548754
Mix,M-T3-4-05,Mix_3,3,4,5,0,101.569412,949.7288049,50.27119508,5.239513648,104.224967,0.719,143.0242505
Mix,M-T3-4-18,Mix_3,3,4,18,0,100.8264314,944.2268363,55.77316371,3.90911312,70.08949931,0.516,92.51761342
Mix,M-T3-5-16,Mix_3,3,5,16,0,96.36594005,956.744681,43.25531896,7.399814517,171.0729384,0.385,89.00639488
Mix,M-T3-5-41,Mix_3,3,5,41,0,95.25945865,941.3725437,58.62745625,8.149389042,139.0029444,0.417,71.12708391
Mix,M-T4-2-02,Mix_4,4,2,2,0,108.5356375,930.4793545,69.52064547,9.761399002,140.4100744,0.561,80.6954533
Mix,M-T4-3-14,Mix_4,4,3,14,0,66.90931898,923.8995488,76.10045123,4.080778,53.62357167,0.347,45.59762714
