sample-id	sample-name	sample-number	type	treatment	tank	genotype
D-T1-4-40	NEI12469A1	1	coral	Dissolved	1	4
F-T3-2-07	NEI12469A2	2	coral	Fish	3	2
P-T1-1-08	NEI12469A3	3	coral	Pellets	1	1
M-T3-5-16	NEI12469A4	4	coral	Mix	3	5
F-T2-3-27	NEI12469A5	5	coral	Fish	2	3
D-T3-5-04	NEI12469A6	6	coral	Dissolved	3	5
M-T1-4-46	NEI12469A7	7	coral	Mix	1	4
WF-M-03	NEI12469A8	8	water_filter	Mix	3	na
M-T2-2-37	NEI12469A9	9	coral	Mix	2	2
C-T2-4-23	NEI12469A10	10	coral	Control	2	4
D-T3-3-32	NEI12469A11	11	coral	Dissolved	3	3
WF-S-02	NEI12469A12	12	water_filter	SeaSim	2	na
P-T3-2-33	NEI12469A13	13	coral	Pellets	3	2
L-T3-1-13	NEI12469A14	14	coral	LiveFeeds	3	1
C-T3-4-34	NEI12469A15	15	coral	Control	3	4
S-T3-1-10	NEI12469A16	16	coral	SeaSim	1	1
F-T4-1-30	NEI12469A17	17	coral	Fish	4	1
M-T2-5-35	NEI12469A18	18	coral	Mix	2	5
Con-filblank	NEI12469A19	19	control	Control	na	na
M-T4-4-26	NEI12469A20	20	coral	Mix	4	4
M-T2-3-19	NEI12469A21	21	coral	Mix	2	3
P-T4-1-50	NEI12469A22	22	coral	Pellets	4	1
FL-T4-4-05	NEI12469A23	23	coral	Field	1	4
WF-P-01	NEI12469A24	24	water_filter	Pellets	1	na
Art-02	NEI12469A25	25	diet	Artemia	na	na
D-T3-2-51	NEI12469A26	26	coral	Dissolved	3	2
WF-C-01	NEI12469A27	27	water_filter	Control	1	na
WF-FL-01	NEI12469A28	28	water_filter	Field	1	na
F-T1-4-47	NEI12469A29	29	coral	Fish	1	4
Alg-02	NEI12469A30	30	diet	Algae	na	na
FL-T9-1-06	NEI12469A31	31	coral	Field	1	1
Con-Lbuff	NEI12469A32	32	control	Control	na	na
P-T1-1-26	NEI12469A33	33	coral	Pellets	1	1
M-T4-3-14	NEI12469A34	34	coral	Mix	4	3
M-T1-2-40	NEI12469A35	35	coral	Mix	1	2
Alg-01	NEI12469A36	36	diet	Algae	na	na
L-T2-3-20	NEI12469A37	37	coral	LiveFeeds	2	3
M-T1-3-56	NEI12469A38	38	coral	Mix	1	3
M-T3-4-18	NEI12469A39	39	coral	Mix	3	4
FL-T5-2-07	NEI12469A40	40	coral	Field	1	2
WF-D-01	NEI12469A41	41	water_filter	Dissolved	1	na
P-T4-5-06	NEI12469A42	42	coral	Pellets	4	5
WF-B-02	NEI12469A43	43	water_filter	Banjo	2	na
F-T2-5-03	NEI12469A44	44	coral	Fish	2	5
M-T1-5-44	NEI12469A45	45	coral	Mix	1	5
C-T4-2-12	NEI12469A46	46	coral	Control	4	2
Pel-01	NEI12469A47	47	diet	Pellets	na	na
WF-FL-03	NEI12469A48	48	water_filter	Field	3	na
WF-P-04	NEI12469A49	49	water_filter	Pellets	4	na
F-T2-3-22	NEI12469A51	51	coral	Fish	2	3
